text,label
Thank Odin they do n't try to come in the modern day .,1.0
Mexicans have plenty of open space in their countries to develop they do n't need ours .,1.0
"Justin Barrett was on Yesterdays lastword on Today FM you can listen to the show on the link below , Justin comes on in about half an hour into the program .",0.0
"Help pass out the NA `` LOVE YOUR RACE '' flyers , that will be a big help .",0.0
"https://www.stormfront.org/forum/show...t+20867&page=9 Just go to my post further down the page , Drug dealing , Murdering , Racemixing , Zionist/Masonic scumbags The last picture of the black orangemen , f * ckin hell i nearly split my sides laughing",1.0
They probably have a 150 I.Q. with all three of them combined .,1.0
There are many alternatives to adopting little mud babies.There is srrogate mothers and invitro fertilization are just two.If these are not financialy possile then wait till it is .,1.0
Just yesterday on t.v. there was some MTV thing where a Western girl was visiting a family in India .,0.0
Why is there an exclusively homosexual high school when you do n't even go to school for sex in the first place ?!,0.0
"I pm 'd you a suggestion of a place to go , I do not want to post it here as I think non-whites read this site and will then proceed to try and move there .",1.0
"Exactly, they want us to lay down and die .",1.0
I was a Right Sector supporter but it starts to sound as if they are in fact just Israeli agents ......,0.0
All we here an Stormfront Britain are saying is that MASS white immigration is detrimental to OUR nation for the reasons we have given time after time .,1.0
Muahaha ...,0.0
If lies were money he would be the richest negro in the world,1.0
Remind them that they 're just another Jew tool and that they are basically spitting on the graves of millions of people that were murdered by real Communists .,1.0
Everything thinks they are banning all 556/223 and hoarding all of it .,0.0
"Friesl hg1 0.2273 0.2222 0.4000 0.4279 0.3214 0.2222 0.1908 0.1034 0.0909 0.0882 0.1515 0.0547 0.6323 0.5532 hg2 0.5909 0.5873 0.4286 0.4233 0.5179 0.5778 0.4913 0.5862 0.6136 0.8088 0.4848 0.6244 0.3000 0.3511 hg3 0.0423 0.0929 0.0558 0.0179 0.0333 0.1040 0.1034 0.0227 0.0441 0.0606 0.0249 0.0290 0.0745 Compare the Armenian regions ( Ararat , North , Syunik , K bakh ) [ blue ] with England and North German ( Friesl ) [ red ] and Mongols [ yellow ] The Armenians genes mark lg1 , that is , mainly , the modern R1b .",0.0
The Official Website of the British People 's Party A few unpleasant truths re. the zionist ass lickers of the DUP,1.0
Our people do n't need to feel down about all this and neither do we need to turn off new member prospects from this fine place so a little less crying and a little more doing is called for .,0.0
There should not be problems between the different classes inside the race white since we are all whites they should be joined to fight against non-whites they are our enemies .,1.0
"I could never picture the site of one of the women of the Holy Rus shacking up with some Islamic mud from that fithy , impoverished , and godforsaken mountainous * * * * hole !",1.0
"-Those that can , send their kids to jewish only schools It 's hardly a surprise they are so united and our kids have friends like Tra' von .",0.0
"Bessie Mae Whyman The Orange County grand jury indicted Anthony Darnell Wade , 26 , of Los Angeles last year of several felony counts .",0.0
I honestly hope that we dont directly involve ourselves anymore .,0.0
I found out this morning that junior school kids are n't allowed to sing Bar Bar Black sheep anymore because it 's racist and might offend the coloured kids so they are being told to sing Bar Bar randow sheep ! whats next we 'll not be allowed to sing god save the queen .,0.0
You can send it to us at drmradio@ymail.com.,0.0
"Id recommend woman use their long nails to gauge out the eyes and throat , and stick their finger up their noses .",1.0
"Homosexuals ca n't undo the fight against White Genocide , only hypocrites can , I 'd rather have openly homosexual men on our side than closet fags or sexual deviants who skulk about pretending to be something they 're not .",1.0
"Their identity is the Liberal Tribe , and they seek out and morally support other members of their tribe .",1.0
If we do n't act soon they will bread us out .,1.0
the entire system of classes are a marxist invention. the judeo-bolsheviks are using this to divide our society. in other words ' Divide et impera ' .,1.0
"As the saying goes , you can take the ape out of the jungle , but you ca n't take the jungle out of the ape .",1.0
"He walks upright , and has human arms and legs .",1.0
"I bought a revolver at an auction , the barrel was dirty especially near the forcing cone area .",0.0
When do they ever learn !!!!,0.0
And this was one was specifically designed to impart the message that minorities are the new acceptable future of America and that White people will be pushed to the back .,0.0
"Unfortunately I have n't kept up with this maddening story , but have hate crime charges been filed against these black apes ?",1.0
That is because Lycurgus has been on moderation forever and should be let off .,0.0
You educate your kids your way and let others do the same .,0.0
"The kikes probably put the Leftist up to it , to make it seem like they do n't have total control of everyone .",1.0
Now I will not go near them .,0.0
"You will have to get some space in your apartment. clear out a 6x6 foot space of floor and do floor exercises , stretch , do deep breathing , get a couple of dumbbells .",0.0
I was really excited to come across this site full of like minded people !,0.0
What about all the tens of millions of negroes that are nothing more than criminals and parasites that do nothing but breed more criminals and parasites ?,1.0
"Go to any major retail mall , the Kitchener farmers market , etc , and its absolutely teeming with non whites ( asians , blacks , hispanics , muslims of all colours , and God knows what else ) and race mixers , and yes I hate to say this but from what I saw the other day many more white women doing the race mixing than white men .",1.0
Where is forced busing when you need it ?,0.0
"Now now lets not discriminate between muslims and jews , I say get them all back to the middle east and turn the whole sand pit to radioactive glass .",1.0
14 !,0.0
These are the essentials if you would to add more thats up to you .,0.0
"Do ` F * ck with our families , buckwheat !!",0.0
I had actualy written th epost for last summer but had to cancel my trip ... so it is 2005 !!! ok every body cool ? * L * Shann 2508,0.0
Police threaten woman for requesting white housemates .,0.0
http://rnebarkashov.ru/foto/ff009.jpg,0.0
Something must be done to halt this terrible wave of immigrants entering Britain .,1.0
We should have a giant celebration with a large number of White Nationalists present and let the world know we do not appreciate Nelson Mandela and his long history of being anti-White .,0.0
"Shows what sub human group these negroid belong , the poor horse got an infection from the dirty pervert .",1.0
I'm young and viciously angry I 'm not going to lie or apologize for my actions i treat non whites like utter crap and i always have and always will they are n't human in my eyes Anyone who tries to wipe out my race and culture will be met by hostility by me any race who rape and abuse their and my women will be met by hostility and contempt by me WPWW,1.0
A guy could shoot anything in that $ 140 Leinad 410 double barrel .,0.0
"Muds do n't respect anything , including themselves ( what 's to respect ) and therefore anyone else .",1.0
com/watch ? v = KrdyCxpB4fs And then the entire Myron Fagan video @ youtube .,0.0
Harsh punishments for rapists .,0.0
And they will flood into all white countries as much as they can !,1.0
I came back because it looked like things had improved .,0.0
"The liberals are going to get their panties in a bunch , with people like you saying we must learn to defend ourselves .",1.0
BTL,0.0
My Home Town is overran with spics and sec 8 coons at this junction .,1.0
Even the queers in small towns have been emboldened to go out and peddle the homosexual agenda .,1.0
We take care of our own !!!,0.0
"This is really not European news , but everybody should know that after years of Lebanese and other arabs intimmidating white women on Cronulla beach and after the cowardly attack on two white life-savers ( !! ) the Lebanese got theirs yesterday .",1.0
and i bet not a single one was a dirty African.they will be well taken care of on welfare payments.just like the old days the Irish starve and have to go abroad to find work only this time parasitical foriegners stay here in nice new homes well fed watching big flat screen tellyspeople of Ireland WAKE UP !,1.0
"Homosexuals practice a perverse lifestyle that destroys the body , mind , and soul just as drug use does ; merely two paths to the same destructive end .",1.0
Whites in all their glory against impossibly large hordes of non-whites .,1.0
"Yeah, after losing peanut butter as their claim to fame , they 'll have to fall back on the Super Soaker .",1.0
That letter would fall on deaf ears .,0.0
"We have to kill off all of the Whites so we can go back to eating cow dung ! """,1.0
I have been coming here for a while now as a guest and today i finally decided to join so here i am .,0.0
"We have to encourage people to boycott all black businesses , start rumours that blacks working in shops have AIDs which is probably true .",1.0
"All of ukraine is Russia/Poland/Romania , you fake ukrainians .",1.0
The holocaust never existed except in the minds of the people who believed it .,1.0
But evertime they took their arms out of water the burning immediately started .,0.0
Trudeau is the white Obama as he does n't care about the people of Canada but all the third world crap he 's allowing into Canada,1.0
The picture in my sig is a Mennonite farm in Creston .. just a couple miles from where I am typing this .,0.0
"Only in the mind of the INTERNATIONAL JEW could such an evil machination , with its ticker tape parade of lies , be cooked up !",1.0
"I had a few of the CDs and gave them all away , let me see if i can get you a copy !!!!",0.0
I 've tried everything talking to my parents about it but I guess it 's their choice to get a divorce if they are n't happy together .,0.0
They are anything but Swedes and to be honest it is good to get rid of them .,1.0
I can only pray this babboon mongoloid did n't have any children so his seed will not continue on on this Earth .,1.0
Dumb goyim are a good revenue source .,0.0
Want a libtard to oppose abortion ?,1.0
Not good news at all but this happens in all European nations and is no doubt pushed by the likes of Jews like Summer Redstone and MTV !!,1.0
A very warm welcome to you from us all at SF Britain .,0.0
If u wanna chat drop me a line RaHoWa !,0.0
"A few weeks ago i started looking into doing that and have got a few pictures and LOADS of mobile numbers so far , reds are just SO naive !",1.0
WE CRIPPIN NIGGA .,1.0
And here 's what David Irving 's site offers on Hitler 's Table Talks .,1.0
We can all put down our torches go home and suck some Jew d@cK JUST LIKE YOU !,1.0
Thanks for the e-mail and addresses .,0.0
This land was founded by whites for whites and I prefer to punish the symptom of urban decay rather than just its zowg figurehead .,1.0
"I believe Abraham 's faith was tested by God when he asked him to sacrifice Isaac , the quran falsely claims it was Ishmael .",0.0
"Unfortunately , there are some poor White families where both parents work .",0.0
not sure how we can be anti liberal when we have a prime minister who openly supports israel and sends them cards on their holiday 's laughing stock of the aryan race. not to mention they also openly support the sand people .,1.0
"The problem is in blacks ' heads , but hey , you have already known that .",1.0
"They re more like a virus than human ; they get inside a country and they taint it with their sickness and pretty soon the whole country goes to hell while the government tries to ban video games because knife crime , rapes and mindless violence has skyrocketed .",1.0
"One thing you seemingly cannot grasp--that JEWS themselves are messiah , and their kingdom is earthly .",1.0
Alaska looks like a pretty good place to live - but then anywhere with lots of snow always looks good to me,0.0
Whites in all their glory against impossibly large hordes of non-whites .,1.0
Will Obama Declare Martial Law Before 2016 ? : Freedom Outpost,0.0
They are supporting the destruction of their future generations .,1.0
To me it means that Jewish supremacists will never again allow Whites to have a say .,1.0
When i first joined up i was shocked at how ( no offence ) elderly some of the people who post here are .,0.0
Some Natives were driving around in a truck a few years ago .,0.0
In these dark days of jewish/Marxist/mafia dominated materialistic societies where everyone and anyone is only a bank note to be traded .,1.0
They 're music is one of the reasons I decided to become a white nationalist in the first place .,0.0
Having worked around blacks at my previous job every stereotype you hear are all true .,1.0
Joyful times indeed !,0.0
The Church of Ireland Archbishop of Dublin has called for an amnesty for immigrants who have been in Ireland for five years or more without their status being resolved .,0.0
Another black is now trying to convince me that black slaves were force-fed animal lard through huge tubes and had their hands and feet cut off so they could work in the cotton fields without running away,1.0
"Raising 1 healthy , racially aware child is worth more than all the libtard and mud children in the world .",1.0
BAH!!Your not ugly your a lovely looking woman and if you want to see ugly wait till I get my ugly mug on here and see why im still single !,0.0
"Allow me to apologize for my last post , as I was drinking heavily last night but you callin me a genetic lottery winner ? come on now I 've had my fair share of hard times just last week a yellow person came into my place of work and started making trouble .",1.0
Here is a link to Philippe Rushton 's review of Vanhanen and Lynn 's IQ and the Wealth of Nations : http://www.ssc.uwo.ca/psychology/fac ... /L & Vreview.pdf,0.0
"They have no allegiance to Ukraine , their allegiance is to their god of money , power and the eternal enslavement of the hated goyim .",1.0
"On other hand , Armenians is nearly 98 % Armenian , so if indeed all of non-white ones are assimilated gypsies , kurds , Assyrians etc. well then Armenians cannot be called white nation then , can they ?",0.0
He's a race traitor .,1.0
I hear the jews are looking to open a Holohoax center in Antarctica next year .,1.0
"Nowadays, your ebony specimen chooses to sit at the back of the bus , so they can get up to all manner of mischief !",1.0
Pornography and prostitution should be outlawed as the jewish filth that it is . _ _ _ _ _ _ _ _ _ nazi.org.uk,1.0
It 's amazing how well dogs and cats get along when they are raised together .,0.0
It ai n't right unless it 's White .,1.0
"These areas that you name are the preserve of the rich , you wont find a single white working class person living there.We might look down on blacks and pakis as scum and not want them living near us but the upper class feel exactly the same about us",1.0
"Old Tarzan movies , `` Zulu '' , and `` King Kong '' have many such images .",0.0
Hi All Are there any women in Texas who are proud of their race ?,0.0
"Yeah, we could do with the same amount of black rapists as the Nordic countries are privileged enough to have .",1.0
Isnt science supposed to be repeatable before they draw conclusions ?,0.0
"In the local student rag 's dating section , there was a letter sent in by a black guy complaining about white girls at this university shunning him and his other negro friends .",0.0
I am a 33 year old single white male in northern Virginia .,0.0
There are some white pride chats on yahoo go to governments and politics then click user rooms there are usually 1-4 white pride chats there,0.0
I - hate - to see men of all ages wearing baseball caps in inappropriate environments .,0.0
I am White and I believe all White people know the difference between right and wrong no matter what they say about their political positions.We are facing genocide as a people and the infighting is just loved by non Whites .,1.0
"I would never join a Christian group , or a group that would allow Christians to join .",0.0
Thanks .,0.0
I live in Oslo and race-mixing is a huge problem .,1.0
Who the hell cares if its not kosher ...,1.0
And the sad thing is the white students at those schools will act like that too .,1.0
i love it when jews get a taste of thier own vile medicene I hope each and every one of them young to old starve in the cold,1.0
"Her victim Wesley Mosier was shot multiple times in the chest , then she and her teen aged son got out and proceeded to kick him repeatedly until the police showed up http://www.courier-journal.com/artic ... g + motorcyclist",0.0
"Their stories have been told before , so instead of showing the pics of the non WHITE garbage that took from them , I am just going to post their pics so they will not be forgotten .",1.0
I like the French .,0.0
"This guy seems to get it but otherwise : Sorry jigs , you 're on your own",1.0
Keep Russia free from dark skinned beings !!!! thank you and please forgive me for mistakes .,1.0
The majority of the people in these photos are more of the threat to America than to the Ukraine in my opinion .,1.0
"If ra-heem had a gat wit 17 bumps and jose ' dised him in front of OG peeps and he capped dat bitch twice den double tapp hector jus cause he be dere , monique pregnant , say ra-heem baby daddy , how much welfare they get ? multiply food stamps X project housing add free utilities , stolen cars and drugs sold to find out why they are still poor",1.0
I'm sad to find this out right now but I 'm also sorry to inform you that Kevin was killed several years ago .,0.0
Those nogs in France do n't belong there and then they show how unruly they can be .,1.0
Did they put that Groid 15 next to Rooney just to make Rooney look at least half-human ?,1.0
"I must say , the younger guy sure keeps this gal young and fit .",0.0
